GCA_000508305.1	117549/5267/2
GCA_000508625.1	117551/895/2
GCA_000508865.1	117550/1963/2
GCA_000508985.1	117550/1985/2
GCA_000509105.1	117550/1995/2
GCA_000509125.1	117550/2021/2
GCA_000509225.1	117550/2031/2
GCA_000510425.1	117550/2050/2
GCA_000510845.1	117550/131/2
GCA_000511875.1	117550/2058/2
GCA_000512675.1	117551/910/2
GCA_000513055.1	117550/133/2
GCA_000513075.1	117550/137/2
GCA_000513555.1	117550/2077/2
GCA_000517005.1	117550/2087/2
GCA_000517385.1	117550/2111/2
GCA_000517565.1	117550/2121/2
GCA_000518365.1	117550/2142/2
GCA_000521465.1	117550/2153/2
GCA_000522425.1	117551/928/2
GCA_000525025.1	117550/2175/2
GCA_000525655.1	117550/2184/2
GCA_000526255.1	117550/2203/2
GCA_000526415.1	117550/2213/2
GCA_000526435.1	117550/2234/2
GCA_000531095.1	117550/2247/2
GCA_000565255.1	117549/1413/2
GCA_000565345.1	117550/2268/2
GCA_000585015.1	117551/948/2
GCA_000585055.1	117551/966/2
GCA_000585075.1	117551/983/2
GCA_000586315.1	117550/1814/2
GCA_000586435.1	117550/1846/2
GCA_000597885.1	117550/1879/2
GCA_000612485.1	117550/1909/2
GCA_000613065.1	117550/1941/2
GCA_000613385.1	117550/1973/2
GCA_000613465.1	117550/2010/2
GCA_000619965.1	117550/2039/2
GCA_000620185.1	117550/2066/2
GCA_000620205.1	117550/2099/2
GCA_000620545.1	117550/2130/2
GCA_000620725.1	117550/2162/2
GCA_000620945.1	117550/2193/2
GCA_000621185.1	117550/2223/2
GCA_000621405.1	117550/2259/2
GCA_000621425.1	117550/1782/2
GCA_000621765.1	117550/2286/2
GCA_000621905.1	117550/2295/2
GCA_000621985.1	117550/2320/2
GCA_000622025.1	117550/2329/2
GCA_000632805.1	117550/2353/2
GCA_000634115.1	117550/139/2
GCA_000634195.1	117550/143/2
GCA_000634215.1	117550/145/2
GCA_000634415.1	117550/149/2
GCA_000634515.1	117550/151/2
GCA_000634735.1	117550/155/2
GCA_000635015.1	117550/157/2
GCA_000635495.1	117550/161/2
GCA_000635535.1	117550/163/2
GCA_000648925.1	117550/2365/2
GCA_000681355.2	117550/167/2
GCA_000686145.1	117550/2387/2
GCA_000687655.1	117550/2397/2
GCA_000687675.1	117550/2415/2
GCA_000687695.1	117550/2425/2
GCA_000687975.1	117550/2448/2
GCA_000688095.1	117550/2458/2
GCA_000688615.1	117550/2480/2
GCA_000690595.2	117549/5275/2
GCA_000695745.1	117550/2490/2
GCA_000696115.1	117550/2514/2
GCA_000701625.1	117550/2525/2
GCA_000701725.1	117550/2548/2
GCA_000702025.1	117550/2557/2
GCA_000702085.1	117550/2579/2
GCA_000702245.1	117550/2589/2
GCA_000702465.1	117550/2608/2
GCA_000702525.1	117550/2618/2
GCA_000702685.1	117550/2640/2
GCA_000702845.1	117550/2650/2
GCA_000703065.1	117550/2673/2
GCA_000708525.1	117551/1001/2
GCA_000710935.1	117550/2683/2
GCA_000711965.1	117550/2704/2
GCA_000714765.1	117550/2715/2
GCA_000715605.1	117550/2740/2
GCA_000715615.1	117550/2753/2
GCA_000715635.1	117550/2779/2
GCA_000715685.1	117550/2309/2
GCA_000715825.1	117550/2339/2
GCA_000715855.1	117550/2376/2
GCA_000716465.1	117550/2408/2
GCA_000717735.1	117550/2435/2
GCA_000719025.1	117550/2468/2
GCA_000719105.1	117550/2499/2
GCA_000720375.1	117550/2536/2
GCA_000720535.1	117550/2567/2
GCA_000720555.1	117550/2598/2
